isolate,leafsp,trt,area,lesion1,lesion2,lesion3,totlesion,Unattributed infection area,Percent Infected Attributed Only,Percent Infected Attributed + Unnattributed,AB_Notes,VM_Notes,0% infection
1330 Laciag,Ormoma,Control 3,7883.253,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Ormoma,Control 4,4109.335,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Ormoma,Control 5,6395.314,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Randar,1,1580.808,42.582,134.257,61.356,238.195,0,15.07%,15.07%,,,
1330 Laciag,Randar,2,1292.947,33.305,22.5,0,55.805,0,4.32%,4.32%,,,
1330 Laciag,Randar,3,1384.47,1384.47,0,0,1384.47,0,100.00%,100.00%,,,
1330 Laciag,Randar,4,1080.926,1032.673,0,0,1032.673,0,95.54%,95.54%,,,
1330 Laciag,Randar,5,980.955,13.691,8.674,0,22.365,0,2.28%,2.28%,,,
1330 Laciag,Randar,Control 1,834.92,767.878,0,0,767.878,0,91.97%,91.97%,,,
1330 Laciag,Randar,Control 2,1432.955,12.136,0,0,12.136,0,0.85%,0.85%,,,
1330 Laciag,Randar,Control 3,1006.14,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Randar,Control 4,1126.736,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Randar,Control 5,1123.917,1026.137,0,0,1026.137,0,91.30%,91.30%,,,
1330 Laciag,Soroaf,1,10083.723,0,0,0,0,37.743,0.00%,0.37%,,,
1330 Laciag,Soroaf,2,4953.469,0,0,0,0,0,0.00%,0.00%,Pretty sure 0 but double check,,yes
1330 Laciag,Soroaf,3,6573.712,2132.783,0,0,2132.783,0,32.44%,32.44%,partially dried,,
1330 Laciag,Soroaf,4,3466.326,384.325,241.292,0,625.617,23.912,18.05%,18.74%,,,
1330 Laciag,Soroaf,5,8356.33,0,0,0,0,0,0.00%,0.00%,partially dried and spotted,,
1330 Laciag,Soroaf,Control 1,6729.521,0,0,0,0,0,0.00%,0.00%,partially dried and spotted,,
1330 Laciag,Soroaf,Control 2,6143.654,0,0,0,0,0,0.00%,0.00%,,,
1330 Laciag,Soroaf,Control 3,2759.353,1140.141,0,0,1140.141,0,41.32%,41.32%,partially dried,,
1330 Laciag,Soroaf,Control 4,7189.928,0,0,0,0,0,0.00%,0.00%,partially dried,,yes
1330 Laciag,Soroaf,Control 5,5623.504,1375.954,0,0,1375.954,0,24.47%,24.47%,looks relatively dry,,
3216 Anacex,Aspicr,1,3372.428,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Aspicr,2,2782.857,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Aspicr,3,2227.042,77.036,435.224,0,512.26,0,23.00%,23.00%,,,
3216 Anacex,Aspicr,4,3011.74,97.198,0,0,97.198,0,3.23%,3.23%,believe lesion 2 and 3 are just punctures,,
3216 Anacex,Aspicr,5,1219.012,902.314,0,0,902.314,0,74.02%,74.02%,,,
3216 Anacex,Aspicr,Control 1,1738.42,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Aspicr,Control 2,1172.911,581.496,0,0,581.496,0,49.58%,49.58%,believe this to be infected maybe double chec,,
3216 Anacex,Aspicr,Control 3,1638.274,25.766,0,0,25.766,0,1.57%,1.57%,,,
3216 Anacex,Aspicr,Control 4,1482.938,809.969,0,0,809.969,0,54.62%,54.62%,,,
3216 Anacex,Aspicr,Control 5,2541.132,29.195,0,0,29.195,0,1.15%,1.15%,leaf is a little streaky but doesn't seem infected,,
3216 Anacex,Castel,1,4369.908,0,0,0,0,792.872,0.00%,18.14%,,,
3216 Anacex,Castel,2,2203.744,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Castel,3,1018.642,0,0,0,0,1018.642,0.00%,100.00%,,,
3216 Anacex,Castel,4,446.082,0,0,0,0,446.082,0.00%,100.00%,,,
3216 Anacex,Castel,5,2539.299,0,0,0,0,2539.299,0.00%,100.00%,,,
3216 Anacex,Castel,Control 1,2193.57,0,0,0,0,238.181,0.00%,10.86%,whole leaf is a little yellowed,,
3216 Anacex,Castel,Control 2,3039.631,0,0,0,0,1169.707,0.00%,38.48%,,,
3216 Anacex,Castel,Control 3,2955.621,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Castel,Control 4,1429.162,30.221,0,0,30.221,37.976,2.11%,4.77%,whole leaf looks a little yellowed,,
3216 Anacex,Castel,Control 5,1428.919,0,0,0,0,0,0.00%,0.00%,slightly curled,,
3216 Anacex,Dendar,1,4352.21,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Dendar,2,3516.863,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Dendar,3,5083.392,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Dendar,4,5271.75,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Dendar,5,3889.566,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Dendar,Control 1,4784.884,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Dendar,Control 2,3517.409,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Dendar,Control 3,4698.914,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Dendar,Control 4,4096.828,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Dendar,Control 5,5407.511,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Mourmy,1,178.983,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Mourmy,2,260.727,8.524,0,0,8.524,6.886,3.27%,5.91%,,,
3216 Anacex,Mourmy,3,242.235,42.548,0,0,42.548,0,17.56%,17.56%,looks slightly dried,,
3216 Anacex,Mourmy,4,291.438,14.767,0,0,14.767,0,5.07%,5.07%,,,
3216 Anacex,Mourmy,5,170.575,110.872,0,0,110.872,0,65.00%,65.00%,dried,,
3216 Anacex,Mourmy,Control 1,232.603,0,0,0,0,0,0.00%,0.00%,dried and brown,,yes
3216 Anacex,Mourmy,Control 2,99.734,0,0,0,0,0,0.00%,0.00%,curled and dried,,yes
3216 Anacex,Mourmy,Control 3,182.704,0,0,0,0,0,0.00%,0.00%,dried and brown,,yes
3216 Anacex,Mourmy,Control 4,85.039,0,0,0,0,0,0.00%,0.00%,curled and dried,,yes
3216 Anacex,Mourmy,Control 5,118.084,0,0,0,0,118.084,0.00%,100.00%,,,
3216 Anacex,Ormoma,1,3778.499,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Ormoma,2,4678.919,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Ormoma,3,3077.251,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Ormoma,4,2540.49,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Ormoma,5,1512.767,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Ormoma,Control 1,5640.427,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Ormoma,Control 2,4558.858,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Ormoma,Control 3,4084.467,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Ormoma,Control 4,3485.356,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Ormoma,Control 5,3423.558,0,0,0,0,0,0.00%,0.00%,tips of ormama control ones slightly dried out,,yes
3216 Anacex,Randar,1,818.241,0,0,0,0,818.241,0.00%,100.00%,dried out ,,
3216 Anacex,Randar,2,668.176,0,0,0,0,768.176,0.00%,114.97%,,,
3216 Anacex,Randar,3,840.513,827.639,0,0,827.639,0,98.47%,98.47%,,,
3216 Anacex,Randar,4,745.445,677.622,0,0,677.622,0,90.90%,90.90%,,,
3216 Anacex,Randar,5,610.595,476.579,0,0,476.579,0,78.05%,78.05%,,,
3216 Anacex,Randar,Control 1,1052.486,909.598,0,0,909.598,0,86.42%,86.42%,,,
3216 Anacex,Randar,Control 2,392.363,302.499,0,0,302.499,0,77.10%,77.10%,,,
3216 Anacex,Randar,Control 3,527.139,472.893,0,0,472.893,0,89.71%,89.71%,,,
3216 Anacex,Randar,Control 4,790.469,0,0,0,0,790.469,0.00%,100.00%,,,
3216 Anacex,Randar,Control 5,791.08,683.724,0,0,683.724,0,86.43%,86.43%,,,
3216 Anacex,Soroaf,1,697.579,0,0,0,0,9.88,0.00%,1.42%,,,
3216 Anacex,Soroaf,2,1496.53,0,0,0,0,1496.53,0.00%,100.00%,spotted and dried ,,
3216 Anacex,Soroaf,3,3167.252,0,0,0,0,0,0.00%,0.00%,partially dry,,yes
3216 Anacex,Soroaf,4,3050.06,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Soroaf,5,2492.59,0,0,0,0,0,0.00%,0.00%,very dry,,yes
3216 Anacex,Soroaf,Control 1,2152.035,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Soroaf,Control 2,3267.115,0,0,0,0,0,0.00%,0.00%,,,yes
3216 Anacex,Soroaf,Control 3,2359.748,0,0,0,0,0,0.00%,0.00%,spotted,,yes
3216 Anacex,Soroaf,Control 4,627.579,10.24,13.868,0,24.108,0,3.84%,3.84%,,,
3216 Anacex,Soroaf,Control 5,2349.319,0,0,0,0,2349.419,0.00%,100.00%,spotted,,
5211 Myrcga,Aspicr,1,1935.429,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Aspicr,2,3308.625,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Aspicr,3,1693.907,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Aspicr,4,1692.52,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Aspicr,5,2796.078,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Aspicr,Control 1,2003.799,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Aspicr,Control 2,2241.678,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Aspicr,Control 3,1936.994,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Aspicr,Control 4,2665.242,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Aspicr,Control 5,1780.643,0,0,0,0,0,0.00%,0.00%,believe no infection double check,,yes
5211 Myrcga,Castel,1,4050.15,0,0,0,0,234.466,0.00%,5.79%,,,
5211 Myrcga,Castel,2,3291.197,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Castel,3,3682.713,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Castel,4,2305.909,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Castel,5,2503.762,175.966,0,0,175.966,0,7.03%,7.03%,,,
5211 Myrcga,Castel,Control 1,2467.404,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Castel,Control 2,1426.859,0,0,0,0,11.288,0.00%,0.79%,,,
5211 Myrcga,Castel,Control 3,1214.753,0,0,0,0,1214.753,0.00%,100.00%,leaf is green but fuzzy all around,,
5211 Myrcga,Castel,Control 4,2894.4,0,0,0,0,0,0.00%,0.00%,leaf is covered in spots,,
5211 Myrcga,Castel,Control 5,2523.535,0,0,0,0,20.986,0.00%,0.83%,,,
5211 Myrcga,Dendar,1,3611.537,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Dendar,2,3005.295,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Dendar,3,2196.606,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Dendar,4,3293.865,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Dendar,5,4364.587,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Dendar,Control 1,2240.875,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Dendar,Control 2,1770.706,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Dendar,Control 3,2772.118,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Dendar,Control 4,3246.735,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Dendar,Control 5,2779.287,193.997,0,0,193.997,0,6.98%,6.98%,,,
5211 Myrcga,Mourmy,1,296.887,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Mourmy,2,134.543,0,0,0,0,0,0.00%,0.00%,think theres just punctures,,yes
5211 Myrcga,Mourmy,3,182.551,0,0,0,0,0,0.00%,0.00%,think theres just punctures,,yes
5211 Myrcga,Mourmy,4,134.882,0,0,0,0,0,0.00%,0.00%,think theres just punctures,,yes
5211 Myrcga,Mourmy,5,139.657,4.809,0,0,4.809,0,3.44%,3.44%,,,
5211 Myrcga,Mourmy,Control 1,389.614,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Mourmy,Control 2,142.63,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Mourmy,Control 3,145.173,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Mourmy,Control 4,147.985,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Mourmy,Control 5,146.05,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Ormoma,1,1744.556,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Ormoma,2,2112.883,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Ormoma,3,3033.034,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Ormoma,4,3924.255,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Ormoma,5,3163.506,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Ormoma,Control 1,1611.765,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Ormoma,Control 2,3679.025,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Ormoma,Control 3,1794.718,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Ormoma,Control 4,2354.722,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Ormoma,Control 5,1784.787,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Randar,1,1617.372,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Randar,2,1220.757,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Randar,3,1557.762,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Randar,4,1132.145,0,0,0,0,6.383,0.00%,0.56%,,,
5211 Myrcga,Randar,5,948.948,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Randar,Control 1,1257.693,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Randar,Control 2,740.186,10.784,0,0,10.784,0,1.46%,1.46%,,,
5211 Myrcga,Randar,Control 3,1245.518,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Randar,Control 4,1460.751,12.857,9.1,0,21.957,13.134,1.50%,2.40%,,,
5211 Myrcga,Randar,Control 5,1056.186,0,0,0,0,0,0.00%,0.00%,,,yes
5211 Myrcga,Tri2pa,1,1742.665,0,0,0,0,12.048,0.00%,0.69%,unattributed is dried out tip,,
5211 Myrcga,Tri2pa,2,1279.424,25.698,58.926,24.281,108.905,0,8.51%,8.51%,,,
5211 Myrcga,Tri2pa,3,942.491,15.401,0,0,15.401,0,1.63%,1.63%,,,
5211 Myrcga,Tri2pa,4,1136.602,0,0,0,0,12.953,0.00%,1.14%,,,
5211 Myrcga,Tri2pa,5,1088.448,0,0,0,0,33.568,0.00%,3.08%,,,
5211 Myrcga,Tri2pa,Control 1,1287.859,617.826,19.848,0,637.674,207.047,49.51%,65.59%,,,
5211 Myrcga,Tri2pa,Control 2,1526.154,119.457,9.304,355.986,484.747,0,31.76%,31.76%,,,
5211 Myrcga,Tri2pa,Control 3,840.16,0,0,0,0,0,0.00%,0.00%,,,
5211 Myrcga,Tri2pa,Control 4,802.35,133.108,5.247,8.096,146.451,0,18.25%,18.25%,,,
5211 Myrcga,Tri2pa,Control 5,671.453,172.255,67.918,0,240.173,0,35.77%,35.77%,,,
5214 Calolo,Aspicr,1,8886.426,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Aspicr,2,4549.241,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Aspicr,3,4950.236,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Aspicr,4,10038.514,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Aspicr,5,9175.697,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Aspicr,Control 1,7207.644,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Aspicr,Control 2,5988.986,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Aspicr,Control 3,6663.589,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Aspicr,Control 4,4825.805,4054.327,0,0,4054.327,0,84.01%,84.01%,,,
5214 Calolo,Aspicr,Control 5,3266.939,0,0,0,0,124.902,0.00%,3.82%,,,
5214 Calolo,Castel,1,1551.294,0,0,0,0,1551.294,0.00%,100.00%,,,
5214 Calolo,Castel,2,960.823,0,0,0,0,960.823,0.00%,100.00%,,,
5214 Calolo,Castel,3,3497.474,0,0,0,0,3497.474,0.00%,100.00%,,,
5214 Calolo,Castel,4,3175.589,0,0,0,0,3175.589,0.00%,100.00%,,,
5214 Calolo,Castel,5,10558.479,0,0,0,0,10558.479,0.00%,100.00%,,,
5214 Calolo,Castel,Control 1,1169.656,0,0,0,0,1169.656,0.00%,100.00%,,,
5214 Calolo,Castel,Control 2,1949.878,0,0,0,0,1949.878,0.00%,100.00%,,,
5214 Calolo,Castel,Control 3,1833.358,1706.379,0,0,1706.379,0,93.07%,93.07%,,,
5214 Calolo,Castel,Control 4,4587.526,157.849,0,0,157.849,0,3.44%,3.44%,slightly yellow,,
5214 Calolo,Castel,Control 5,8624.92,0,0,0,0,0,0.00%,0.00%,,,
5214 Calolo,Dendar,1,8832.815,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Dendar,2,8894.257,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Dendar,3,7178.456,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Dendar,4,7659.167,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Dendar,5,9538.252,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Dendar,Control 1,7670.823,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Dendar,Control 2,9199.099,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Dendar,Control 3,10399.439,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Dendar,Control 4,8987.715,0,0,0,0,3215.995,0.00%,35.78%,,,
5214 Calolo,Dendar,Control 5,11518.031,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Mourmy,1,536.556,25.234,0,0,25.234,0,4.70%,4.70%,partially dried,,yes
5214 Calolo,Mourmy,2,125.459,0,0,0,0,0,0.00%,0.00%,very dried,,yes
5214 Calolo,Mourmy,3,145.29,0,0,0,0,0,0.00%,0.00%,partially dried,,yes
5214 Calolo,Mourmy,4,176.917,0,0,0,0,0,0.00%,0.00%,partially dried,,yes
5214 Calolo,Mourmy,5,116.74,0,0,0,0,0,0.00%,0.00%,partially dried,,yes
5214 Calolo,Mourmy,Control 1,125.659,0,0,0,0,0,0.00%,0.00%,partially dried,,yes
5214 Calolo,Mourmy,Control 2,98.629,0,0,0,0,0,0.00%,0.00%,partially dried,,yes
5214 Calolo,Mourmy,Control 3,116.927,0,0,0,0,0,0.00%,0.00%,partially dried,,yes
5214 Calolo,Mourmy,Control 4,92.456,0,0,0,0,0,0.00%,0.00%,partially dried,,yes
5214 Calolo,Mourmy,Control 5,82.941,0,0,0,0,82.941,0.00%,100.00%,dark and dried out,,
5214 Calolo,Ormoma,1,5507.318,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Ormoma,2,6256.723,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Ormoma,3,7613.902,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Ormoma,4,3179.495,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Ormoma,5,4087.776,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Ormoma,Control 1,2752.789,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Ormoma,Control 2,3614.977,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Ormoma,Control 3,5275.271,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Ormoma,Control 4,3359.04,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Ormoma,Control 5,11023.457,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Randar,1,793.305,11.206,6.742,0,17.948,0,2.26%,2.26%,,,
5214 Calolo,Randar,2,619.271,609.997,0,0,609.997,0,98.50%,98.50%,,,
5214 Calolo,Randar,3,940.97,0,0,0,0,50.955,0.00%,5.42%,,,
5214 Calolo,Randar,4,902.244,11.482,0,0,11.482,0,1.27%,1.27%,,,
5214 Calolo,Randar,5,776.043,74.621,89.679,84.124,248.424,0,32.01%,32.01%,,,
5214 Calolo,Randar,Control 1,758.974,0,0,0,0,758.974,0.00%,100.00%,fully wrinkled maybe N/A,,
5214 Calolo,Randar,Control 2,953.317,32.63,11.521,0,44.151,0,4.63%,4.63%,,,
5214 Calolo,Randar,Control 3,476.504,32.186,19.498,8.179,59.863,0,12.56%,12.56%,,,
5214 Calolo,Randar,Control 4,578.671,432.806,0,0,432.806,0,74.79%,74.79%,,,
5214 Calolo,Randar,Control 5,568.211,9.933,27.757,10.813,48.503,0,8.54%,8.54%,,,
5214 Calolo,Soroaf,1,6476.296,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Soroaf,2,4652.536,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Soroaf,3,4374.182,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Soroaf,4,4121.943,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Soroaf,5,2076.026,0,0,0,0,0,0.00%,0.00%,spotted,,yes
5214 Calolo,Soroaf,Control 1,2121.039,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Soroaf,Control 2,3968.552,0,0,0,0,0,0.00%,0.00%,,,yes
5214 Calolo,Soroaf,Control 3,1507.615,492.453,0,0,492.453,0,32.66%,32.66%,whole leaf is partially dried out,,
5214 Calolo,Soroaf,Control 4,3398.517,0,0,0,0,0,0.00%,0.00%,,,
5214 Calolo,Soroaf,Control 5,994.586,0,0,0,0,0,0.00%,0.00%,very wrinkled,,
5323 Laciag,Aspicr,1,2111.047,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Aspicr,2,3900.065,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Aspicr,3,2448.334,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Aspicr,4,3090.581,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Aspicr,5,2321.828,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Aspicr,Control 1,2551.167,2221.153,0,0,2221.153,0,87.06%,87.06%,pretty sure this is infected,,
5323 Laciag,Aspicr,Control 2,1837.338,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Aspicr,Control 3,4083.751,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Aspicr,Control 4,4064.401,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Aspicr,Control 5,3500.829,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Castel,1,801.306,0,0,0,0,0,0.00%,0.00%,very dried out,,yes
5323 Laciag,Castel,2,1076.412,0,0,0,0,1076.412,0.00%,100.00%,,,
5323 Laciag,Castel,3,3165.85,0,0,0,0,0,0.00%,0.00%,very dried out,,yes
5323 Laciag,Castel,4,8852.183,3092.425,0,0,3092.425,0,34.93%,34.93%,,,
5323 Laciag,Castel,5,2584.428,0,0,0,0,2584.428,0.00%,100.00%,,,
5323 Laciag,Castel,Control 1,816.202,0,0,0,0,127.195,0.00%,15.58%,very yellow,,
5323 Laciag,Castel,Control 2,2632.675,0,0,0,0,2632.675,0.00%,100.00%,,,
5323 Laciag,Castel,Control 3,3466.605,0,0,0,0,3266.605,0.00%,94.23%,,,
5323 Laciag,Castel,Control 4,8526.732,0,0,0,0,3266.605,0.00%,38.31%,looks very yellow,,
5323 Laciag,Castel,Control 5,8825.874,0,0,0,0,0,0.00%,0.00%,slightly dried out,,
5323 Laciag,Dendar,1,2156.43,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Dendar,2,2142.952,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Dendar,3,3251.249,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Dendar,4,4447.257,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Dendar,5,1709.386,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Dendar,Control 1,2992.465,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Dendar,Control 2,3784.262,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Dendar,Control 3,2683.26,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Dendar,Control 4,1872.121,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Dendar,Control 5,2644.593,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Mourmy,1,136.965,0,0,0,0,0,0.00%,0.00%,partially dried,,yes
5323 Laciag,Mourmy,2,132.577,24.106,0,0,24.106,0,18.18%,18.18%,partially dried,,
5323 Laciag,Mourmy,3,157.921,0,0,0,0,0,0.00%,0.00%,partially dried,,yes
5323 Laciag,Mourmy,4,128.954,0,0,0,0,0,0.00%,0.00%,partially dried,,yes
5323 Laciag,Mourmy,5,130.504,0,0,0,0,0,0.00%,0.00%,partially dried,,yes
5323 Laciag,Mourmy,Control 1,131.713,0,0,0,0,0,0.00%,0.00%,fully dried out,,yes
5323 Laciag,Mourmy,Control 2,101.381,0,0,0,0,0,0.00%,0.00%,fully dried out,,yes
5323 Laciag,Mourmy,Control 3,84.877,0,0,0,0,0,0.00%,0.00%,fully dried out,,yes
5323 Laciag,Mourmy,Control 4,134.435,0,0,0,0,0,0.00%,0.00%,fully dried out,,yes
5323 Laciag,Mourmy,Control 5,97.579,0,0,0,0,97.579,0.00%,100.00%,fully dried out,,
5323 Laciag,Ormoma,1,4554.177,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Ormoma,2,4005.524,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Ormoma,3,4552.659,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Ormoma,4,1908.712,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Ormoma,5,1286.329,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Ormoma,Control 1,2580.157,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Ormoma,Control 2,1768.565,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Ormoma,Control 3,1097.361,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Ormoma,Control 4,6580.433,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Ormoma,Control 5,4764.819,0,0,0,0,0,0.00%,0.00%,,,yes
5323 Laciag,Randar,1,2767.795,0,0,0,0,0,0.00%,0.00%,,,
