isolate,leafsp,trt,area,lesion1,lesion2,lesion3,totlesion,Unattributed infection area,Percent Infected Attributed Only,Percent Infected Attributed + Unnattributed,AB_Notes,VM_Notes,0% infection
411Laciag,Tri2pa,1,1025.725,13.029,9.182,14.391,36.602,,3.57%,3.57%,,,
411 Laciag,Tri2pa,2,827.309,9.73,6.551,10.945,27.226,0,3.29%,3.29%,,,
411 Laciag,Tri2pa,3,882.948,7.232,7.418,6.419,21.069,0,2.39%,2.39%,unsure if lesion 2 is just the punch,,
411Laciag,Tri2pa,4,1471.448,0,0,0,0,0,0.00%,0.00%,want to make sure this is actually 0,,
411 Laciag,Tri2pa,5,851.279,41.167,18.967,7.176,67.31,0,7.91%,7.91%,lesion 3 may just be puncture double check,,
411 Laciag,Tri2pa,Control 1,1428.778,0,0,0,0,0,0.00%,0.00%,,,yes
411Laciag,Tri2pa,Control 2,2044.661,0,0,0,0,0,0.00%,0.00%,,,yes
411 Laciag,Tri2pa,Control 3,1117.648,22.543,0,0,22.543,0,2.02%,2.02%,,,
411Laciag,Tri2pa,Control 4,1305.723,14.737,0,0,14.737,0,1.13%,1.13%,,,
411 Laciag,Tri2pa,Control 5,1006.036,27.114,10.97,0,38.084,0,3.79%,3.79%,,,
713 Propta,Aspicr,1,2495.845,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Aspicr,2,2017.017,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Aspicr,3,2134.022,21.93,55.884,268.306,346.12,0,16.22%,16.22%,,,
713 Propta,Aspicr,4,1718.824,105.121,104.746,38.366,248.233,0,14.44%,14.44%,,,
713 Propta,Aspicr,5,1702.288,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Aspicr,Control 1,1887.005,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Aspicr,Control 2,1987.416,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Aspicr,Control 3,3059.336,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Aspicr,Control 4,1330.375,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Aspicr,Control 5,2435.748,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Castel,1,1997.123,110.387,0,0,110.387,,5.53%,5.53%,this leaf seems to have a lot of unrelated brown spots,,
713 Propta,Castel,2,2450.772,60.679,0,0,60.679,,2.48%,2.48%,large brown spot covering most of the leaf -- can't attribute to puncture,,
713 Propta,Castel,3,2394.333,0,0,0,0,2394.333,0.00%,100.00%,Mostly brown but can't attribute to puncture,,
713 Propta,Castel,4,1590.315,0,0,0,0,1590.315,0.00%,100.00%,fully infected (can't attribute to punctures),,
713 Propta,Castel,5,2268.385,0,0,0,0,0,0.00%,0.00%,Brown parts but can't attribute to puncture,,
713 Propta,Castel,Control 1,3086.159,0,0,0,0,3086.159,0.00%,100.00%,looks fully rotten,,
713 Propta,Castel,Control 2,2066.447,0,0,0,0,2066.447,0.00%,100.00%,looks fully rotten,,
713 Propta,Castel,Control 3,2830.716,34.395,0,0,34.395,1124.423,1.22%,40.94%,,,
713 Propta,Castel,Control 4,2035.408,,,,0,2035.408,0.00%,100.00%,looks fully rotten,,
713 Propta,Castel,Control 5,1277.545,0,0,0,0,1277.545,0.00%,100.00%,Looks fully rotten,,
713 Propta,Dendar,1,3013.852,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Dendar,2,2437.852,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Dendar,3,3365.172,1469.144,0,0,1469.144,,43.66%,43.66%,,,
713 Propta,Dendar,4,2567.384,2122.916,0,0,2122.916,0,82.69%,82.69%,,,
713 Propta,Dendar,5,2806.527,2696.36,0,0,2696.36,0,96.07%,96.07%,,,
713 Propta,Dendar,Control 1,2641.759,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Dendar,Control 2,3638.931,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Dendar,Control 3,2566.49,0,0,0,0,0,0.00%,0.00%,,,yes
713 Propta,Dendar,Control 4,1893.169,1458.146,0,0,1458.146,0,77.02%,77.02%,attributed because around punctures - but unsure if I should label as unattributed,,
