"","leafsp","trt","area","lesion1","lesion2","lesion3","totlesion","Unattributed.infection.area","tot.lesion","percent.infection","X","medMAP","hostorigin","minMAP","maxMAP","rangeMAP","Isolate","code","Bosque","pathogenorigin","DRY_DEFICIT","percent0","control","delete","cntrls","difference"
"28","tri2pa","2",827.309,9.73,6.551,10.945,27.226,"0",27.226,0.0329091065128023,9,2050.593,2157.9315,2037.433,2602.37,564.937,"411Laciag","4","Oleoducto",2330,-549.423,1,"live","Control",0,0.0329091065128023
"29","tri2pa","3",882.948,7.232,7.418,6.419,21.069,"0",21.069,0.023862107394773,9,2050.593,2157.9315,2037.433,2602.37,564.937,"411Laciag","4","Oleoducto",2330,-549.423,1,"live","Control",0.0201700356462858,0.00369207174848719
"30","tri2pa","4",1471.448,0,0,0,0,"0",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"411Laciag","4","Oleoducto",2330,-549.423,0,"live","Control",0.0112864673441457,-0.0112864673441457
"31","tri2pa","5",851.279,41.167,18.967,7.176,67.31,"0",67.31,0.0790692593145138,9,2050.593,2157.9315,2037.433,2602.37,564.937,"411Laciag","4","Oleoducto",2330,-549.423,1,"live","Control",0.0378555041767889,0.0412137551377249
"32","aspicr","1",2495.845,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"713Propta","7","Sherman",3203,-491.669,0,"live","Control",0,0
"33","aspicr","2",2017.017,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"713Propta","7","Sherman",3203,-491.669,0,"live","Control",0,0
"34","aspicr","3",2134.022,21.93,55.884,268.306,346.12,"0",346.12,0.162191392591079,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"713Propta","7","Sherman",3203,-491.669,1,"live","Control",0,0.162191392591079
"35","aspicr","4",1718.824,105.121,104.746,38.366,248.233,"0",248.233,0.144420254778849,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"713Propta","7","Sherman",3203,-491.669,1,"live","Control",0,0.144420254778849
"36","aspicr","5",1702.288,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"713Propta","7","Sherman",3203,-491.669,0,"live","Control",0,0
"37","castel","1",1997.123,110.387,0,0,110.387,"",110.387,0.055273010225209,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"713Propta","7","Sherman",3203,-491.669,1,"live","Control",0,0.055273010225209
"38","castel","2",2450.772,60.679,0,0,60.679,"",60.679,0.0247591371208746,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"713Propta","7","Sherman",3203,-491.669,1,"live","Control",0,0.0247591371208746
"39","castel","3",2394.333,0,0,0,0,"2394.333",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"713Propta","7","Sherman",3203,-491.669,0,"live","Control",0.0121506360934831,-0.0121506360934831
"40","castel","4",1590.315,0,0,0,0,"1590.315",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"713Propta","7","Sherman",3203,-491.669,0,"live",NA,NA,NA
"41","castel","5",2268.385,0,0,0,0,"0",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"713Propta","7","Sherman",3203,-491.669,0,"live","Control",0,0
"42","dendar","1",3013.852,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"713Propta","7","Sherman",3203,-491.669,0,"live","Control",0,0
"43","dendar","2",2437.852,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"713Propta","7","Sherman",3203,-491.669,0,"live","Control",0,0
"44","dendar","3",3365.172,1469.144,0,0,1469.144,"",1469.144,0.436573227163426,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"713Propta","7","Sherman",3203,-491.669,1,"live","Control",0,0.436573227163426
"45","dendar","4",2567.384,2122.916,0,0,2122.916,"0",2122.916,0.826879033288359,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"713Propta","7","Sherman",3203,-491.669,1,"live","Control",0.770214386565594,0.0566646467227645
"46","dendar","5",2806.527,2696.36,0,0,2696.36,"0",2696.36,0.960746146393746,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"713Propta","7","Sherman",3203,-491.669,1,"live","Control",0,0.960746146393746
"47","mourmy","1",202.54,3.6,2.83,5.29,11.72,"0",11.72,0.0578651130640861,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"713Propta","7","Sherman",3203,-491.669,1,"live","Control",0.0539705566301311,0.003894556433955
