"","leafsp","trt","area","lesion1","lesion2","lesion3","totlesion","Unattributed.infection.area","tot.lesion","percent.infection","X","medMAP","hostorigin","minMAP","maxMAP","rangeMAP","Isolate","code","Bosque","pathogenorigin","DRY_DEFICIT","percent0","control"
"36","mourmy","Control 1",402.826,7.086,4.421,0,11.507,"0",11.507,0.0285656834464508,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"411Laciag","4","Oleoducto",2330,-549.423,1,"cntrl"
"37","mourmy","Control 2",199.937,7.901,7.915,0,15.816,"0",15.816,0.0791049180491855,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"411Laciag","4","Oleoducto",2330,-549.423,1,"cntrl"
"39","mourmy","Control 4",144.933,11.7,0,0,11.7,"0",11.7,0.0807269565937364,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"411Laciag","4","Oleoducto",2330,-549.423,1,"cntrl"
"40","mourmy","Control 5",159.38,14.176,0,0,14.176,"0",14.176,0.0889446605596687,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"411Laciag","4","Oleoducto",2330,-549.423,1,"cntrl"
"41","ormoma","1",3503.136,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"411Laciag","4","Oleoducto",2330,-549.423,0,"live"
"42","ormoma","2",2836.894,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"411Laciag","4","Oleoducto",2330,-549.423,0,"live"
"43","ormoma","3",1823.42,24.823,0,0,24.823,"0",24.823,0.0136134297090083,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"411Laciag","4","Oleoducto",2330,-549.423,1,"live"
"44","ormoma","4",1794.553,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"411Laciag","4","Oleoducto",2330,-549.423,0,"live"
"45","ormoma","5",1917.816,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"411Laciag","4","Oleoducto",2330,-549.423,0,"live"
"46","ormoma","Control 1",4997.891,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"411Laciag","4","Oleoducto",2330,-549.423,0,"cntrl"
"47","ormoma","Control 2",4925.438,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"411Laciag","4","Oleoducto",2330,-549.423,0,"cntrl"
"48","ormoma","Control 3",4338.019,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"411Laciag","4","Oleoducto",2330,-549.423,0,"cntrl"
"49","ormoma","Control 4",4205.449,15.597,15.214,0,30.811,"0",30.811,0.00732644718792215,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"411Laciag","4","Oleoducto",2330,-549.423,1,"cntrl"
"50","ormoma","Control 5",4684.798,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"411Laciag","4","Oleoducto",2330,-549.423,0,"cntrl"
"51","randar","1",1025.245,44.593,61.553,46.008,152.154,"0",152.154,0.148407453828109,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"411Laciag","4","Oleoducto",2330,-549.423,1,"live"
"52","randar","2",1073.488,5.677,0,0,5.677,"0",5.677,0.00528836838418315,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"411Laciag","4","Oleoducto",2330,-549.423,1,"live"
"53","randar","3",1114.689,4.43,4.857,0,9.287,"0",9.287,0.00833147182756805,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"411Laciag","4","Oleoducto",2330,-549.423,1,"live"
"54","randar","4",664.774,22.203,55.423,20.856,98.482,"0",98.482,0.148143579622548,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"411Laciag","4","Oleoducto",2330,-549.423,1,"live"
"55","randar","5",1089.977,6.766,16.509,9.692,32.967,"0",32.967,0.0302455923381869,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"411Laciag","4","Oleoducto",2330,-549.423,1,"live"
"56","randar","Control 1",1302.284,0,0,0,0,"0",0,0,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"411Laciag","4","Oleoducto",2330,-549.423,0,"cntrl"
"57","randar","Control 2",942.512,0,0,0,0,"0",0,0,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"411Laciag","4","Oleoducto",2330,-549.423,0,"cntrl"
"58","randar","Control 3",1063.2,42.77,13.788,0,56.558,"0",56.558,0.0531960120391272,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"411Laciag","4","Oleoducto",2330,-549.423,1,"cntrl"
"59","randar","Control 4",971.023,4.386,22.941,0,27.327,"0",27.327,0.0281424847815139,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"411Laciag","4","Oleoducto",2330,-549.423,1,"cntrl"
"60","randar","Control 5",2218.479,28.949,0,0,28.949,"0",28.949,0.0130490304393235,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"411Laciag","4","Oleoducto",2330,-549.423,1,"cntrl"
"61","tri2pa","1",1025.725,13.029,9.182,14.391,36.602,"",36.602,0.0356840283701772,9,2050.593,2157.9315,2037.433,2602.37,564.937,"411Laciag","4","Oleoducto",2330,-549.423,1,"live"
"62","tri2pa","2",827.309,9.73,6.551,10.945,27.226,"0",27.226,0.0329091065128023,9,2050.593,2157.9315,2037.433,2602.37,564.937,"411Laciag","4","Oleoducto",2330,-549.423,1,"live"
"63","tri2pa","3",882.948,7.232,7.418,6.419,21.069,"0",21.069,0.023862107394773,9,2050.593,2157.9315,2037.433,2602.37,564.937,"411Laciag","4","Oleoducto",2330,-549.423,1,"live"
"64","tri2pa","4",1471.448,0,0,0,0,"0",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"411Laciag","4","Oleoducto",2330,-549.423,0,"live"
"65","tri2pa","5",851.279,41.167,18.967,7.176,67.31,"0",67.31,0.0790692593145138,9,2050.593,2157.9315,2037.433,2602.37,564.937,"411Laciag","4","Oleoducto",2330,-549.423,1,"live"
"66","tri2pa","Control 1",1428.778,0,0,0,0,"0",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"411Laciag","4","Oleoducto",2330,-549.423,0,"cntrl"
"67","tri2pa","Control 2",2044.661,0,0,0,0,"0",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"411Laciag","4","Oleoducto",2330,-549.423,0,"cntrl"
"68","tri2pa","Control 3",1117.648,22.543,0,0,22.543,"0",22.543,0.0201700356462858,9,2050.593,2157.9315,2037.433,2602.37,564.937,"411Laciag","4","Oleoducto",2330,-549.423,1,"cntrl"
"69","tri2pa","Control 4",1305.723,14.737,0,0,14.737,"0",14.737,0.0112864673441457,9,2050.593,2157.9315,2037.433,2602.37,564.937,"411Laciag","4","Oleoducto",2330,-549.423,1,"cntrl"
"70","tri2pa","Control 5",1006.036,27.114,10.97,0,38.084,"0",38.084,0.0378555041767889,9,2050.593,2157.9315,2037.433,2602.37,564.937,"411Laciag","4","Oleoducto",2330,-549.423,1,"cntrl"
"71","aspicr","1",2495.845,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"713Propta","7","Sherman",3203,-491.669,0,"live"
"72","aspicr","2",2017.017,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"713Propta","7","Sherman",3203,-491.669,0,"live"
"73","aspicr","3",2134.022,21.93,55.884,268.306,346.12,"0",346.12,0.162191392591079,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"713Propta","7","Sherman",3203,-491.669,1,"live"
"74","aspicr","4",1718.824,105.121,104.746,38.366,248.233,"0",248.233,0.144420254778849,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"713Propta","7","Sherman",3203,-491.669,1,"live"
"75","aspicr","5",1702.288,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"713Propta","7","Sherman",3203,-491.669,0,"live"
"76","aspicr","Control 1",1887.005,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"713Propta","7","Sherman",3203,-491.669,0,"cntrl"
"77","aspicr","Control 2",1987.416,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"713Propta","7","Sherman",3203,-491.669,0,"cntrl"
"78","aspicr","Control 3",3059.336,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"713Propta","7","Sherman",3203,-491.669,0,"cntrl"
"79","aspicr","Control 4",1330.375,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"713Propta","7","Sherman",3203,-491.669,0,"cntrl"
"80","aspicr","Control 5",2435.748,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"713Propta","7","Sherman",3203,-491.669,0,"cntrl"
"81","castel","1",1997.123,110.387,0,0,110.387,"",110.387,0.055273010225209,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"713Propta","7","Sherman",3203,-491.669,1,"live"
"82","castel","2",2450.772,60.679,0,0,60.679,"",60.679,0.0247591371208746,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"713Propta","7","Sherman",3203,-491.669,1,"live"
"83","castel","3",2394.333,0,0,0,0,"2394.333",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"713Propta","7","Sherman",3203,-491.669,0,"live"
"84","castel","4",1590.315,0,0,0,0,"1590.315",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"713Propta","7","Sherman",3203,-491.669,0,"live"
"85","castel","5",2268.385,0,0,0,0,"0",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"713Propta","7","Sherman",3203,-491.669,0,"live"
"86","castel","Control 1",3086.159,0,0,0,0,"3086.159",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"713Propta","7","Sherman",3203,-491.669,0,"cntrl"
"87","castel","Control 2",2066.447,0,0,0,0,"2066.447",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"713Propta","7","Sherman",3203,-491.669,0,"cntrl"
"88","castel","Control 3",2830.716,34.395,0,0,34.395,"1124.423",34.395,0.0121506360934831,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"713Propta","7","Sherman",3203,-491.669,1,"cntrl"
"90","castel","Control 5",1277.545,0,0,0,0,"1277.545",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"713Propta","7","Sherman",3203,-491.669,0,"cntrl"
"91","dendar","1",3013.852,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"713Propta","7","Sherman",3203,-491.669,0,"live"
"92","dendar","2",2437.852,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"713Propta","7","Sherman",3203,-491.669,0,"live"
"93","dendar","3",3365.172,1469.144,0,0,1469.144,"",1469.144,0.436573227163426,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"713Propta","7","Sherman",3203,-491.669,1,"live"
"94","dendar","4",2567.384,2122.916,0,0,2122.916,"0",2122.916,0.826879033288359,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"713Propta","7","Sherman",3203,-491.669,1,"live"
"95","dendar","5",2806.527,2696.36,0,0,2696.36,"0",2696.36,0.960746146393746,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"713Propta","7","Sherman",3203,-491.669,1,"live"
"96","dendar","Control 1",2641.759,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"713Propta","7","Sherman",3203,-491.669,0,"cntrl"
"97","dendar","Control 2",3638.931,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"713Propta","7","Sherman",3203,-491.669,0,"cntrl"
"98","dendar","Control 3",2566.49,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"713Propta","7","Sherman",3203,-491.669,0,"cntrl"
"99","dendar","Control 4",1893.169,1458.146,0,0,1458.146,"0",1458.146,0.770214386565594,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"713Propta","7","Sherman",3203,-491.669,1,"cntrl"
"100","dendar","Control 5",1643.377,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"713Propta","7","Sherman",3203,-491.669,0,"cntrl"
"101","mourmy","1",202.54,3.6,2.83,5.29,11.72,"0",11.72,0.0578651130640861,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"713Propta","7","Sherman",3203,-491.669,1,"live"
"102","mourmy","2",255.784,0,0,0,0,"0",0,0,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"713Propta","7","Sherman",3203,-491.669,0,"live"
"103","mourmy","3",149.032,2.66,2.291,3.144,8.095,"0.618",8.095,0.0543171936228461,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"713Propta","7","Sherman",3203,-491.669,1,"live"
"104","mourmy","4",149.149,0,0,0,0,"0",0,0,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"713Propta","7","Sherman",3203,-491.669,0,"live"
"105","mourmy","5",117.002,4.43,3.271,0,7.701,"0",7.701,0.0658193877027743,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"713Propta","7","Sherman",3203,-491.669,1,"live"
