"","leafsp","trt","area","lesion1","lesion2","lesion3","totlesion","Unattributed.infection.area","tot.lesion","percent.infection","X","medMAP","hostorigin","minMAP","maxMAP","rangeMAP","Isolate","code","Bosque","pathogenorigin","DRY_DEFICIT","percent0","control"
"143","aspicr","3",4075.786,0,0,3708.799,3708.799,"0",3708.799,0.909959207868127,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live"
"144","aspicr","4",3082.796,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live"
"145","aspicr","5",6520.352,0,0,0,3866.316,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live"
"146","aspicr","Control 1",3905.547,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"147","aspicr","Control 2",5084.102,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"148","aspicr","Control 3",2904.368,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"149","aspicr","Control 4",3805.921,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"150","aspicr","Control 5",4658.763,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"151","castel","1",5545.765,26.487,67.406,165.475,259.368,"2166.938",259.368,0.046768660410241,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live"
"152","castel","2",4504.702,0,0,0,0,"4504.702",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live"
"153","castel","3",1400.643,0,0,0,0,"1400.643",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live"
"154","castel","4",1718.752,0,0,0,0,"1718.752",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live"
"155","castel","5",2331.82,0,0,0,0,"2331.82",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live"
"156","castel","Control 1",1860.264,0,0,0,0,"0",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"157","castel","Control 2",2511.233,0,0,0,0,"386.701",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"158","castel","Control 3",5023.86,0,0,0,0,"0",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"159","castel","Control 4",5475.904,0,0,0,0,"0",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"160","castel","Control 5",3037.633,0,0,0,0,"0",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"161","dendar","1",4162.012,45.318,0,0,45.318,"0",45.318,0.0108884837429589,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live"
"162","dendar","2",3448.586,56.288,0,0,56.288,"0",56.288,0.0163220519946436,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live"
"163","dendar","3",3401.762,22.214,36.839,0,59.053,"0",59.053,0.0173595330890286,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live"
"164","dendar","4",5366.314,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live"
"165","dendar","5",3933.757,23.165,0,0,23.165,"0",23.165,0.00588877248899716,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live"
"166","dendar","Control 1",7053.486,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"167","dendar","Control 2",8900.549,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"168","dendar","Control 3",6739.471,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"169","dendar","Control 4",8903.842,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"170","dendar","Control 5",5466.412,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"171","mourmy","1",775.947,17.142,12.625,4.835,34.602,"0",34.602,0.0445932518586965,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live"
"172","mourmy","2",588.009,203.518,0,0,203.518,"0",203.518,0.346113749959609,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live"
"173","mourmy","3",346.06,0,0,0,0,"346.06",0,0,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live"
"174","mourmy","4",496.256,47.322,30.781,47.72,125.823,"0",125.823,0.253544541526954,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live"
"175","mourmy","5",532.613,172.677,0,0,172.677,"0",172.677,0.324207257427062,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live"
"176","mourmy","Control 1",626.311,0,0,0,0,"0",0,0,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"177","mourmy","Control 2",787.758,0,0,0,0,"24.077",0,0,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"178","mourmy","Control 3",467.132,0,0,0,0,"0",0,0,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"179","mourmy","Control 4",502.966,0,0,0,0,"267.226",0,0,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"180","mourmy","Control 5",315.261,8.37,0,0,8.37,"0",8.37,0.0265494304718947,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1217Anacex","1","Metropolitano",1874,-574.926,1,"cntrl"
"181","ormoma","1",5753.951,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live"
"182","ormoma","2",10173.427,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live"
"183","ormoma","3",8638.764,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live"
"184","ormoma","4",7134.813,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live"
"185","ormoma","5",5010.458,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live"
"186","ormoma","Control 1",4847.851,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"187","ormoma","Control 2",5390.918,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"188","ormoma","Control 3",8572.108,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"189","ormoma","Control 4",5866.772,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"190","ormoma","Control 5",6026.518,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"191","randar","1",2362.734,2362.734,0,0,2362.734,"0",2362.734,1,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live"
"192","randar","2",2314.171,2314.171,0,0,2314.171,"0",2314.171,1,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live"
"193","randar","3",3733.332,3634.77,0,0,3634.77,"0",3634.77,0.973599454856948,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live"
"194","randar","4",2643.523,2643.523,0,0,2643.523,"0",2643.523,1,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live"
"195","randar","5",2135.19,2130.697,0,0,2130.697,"0",2130.697,0.997895737615856,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live"
"196","randar","Control 1",1324.174,0,0,0,0,"0",0,0,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"197","randar","Control 2",1716.653,0,0,0,0,"0",0,0,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"198","randar","Control 3",2098.169,0,0,0,0,"0",0,0,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"199","randar","Control 4",2543.122,0,0,0,0,"0",0,0,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"200","randar","Control 5",1602.152,0,0,0,0,"0",0,0,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"201","tri2pa","1",3782.431,71.457,281.792,85.826,439.075,"0",439.075,0.116082752071353,9,2050.593,2157.9315,2037.433,2602.37,564.937,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live"
"202","tri2pa","2",3315.802,62.633,35.718,57.959,156.31,"0",156.31,0.0471409330231419,9,2050.593,2157.9315,2037.433,2602.37,564.937,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live"
"203","tri2pa","3",3038.598,83.572,0,0,83.572,"0",83.572,0.0275034736414623,9,2050.593,2157.9315,2037.433,2602.37,564.937,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live"
"204","tri2pa","4",4673.925,0,0,0,0,"",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"1217Anacex","1","Metropolitano",1874,-574.926,0,"live"
"205","tri2pa","5",3790.295,506.626,0,0,506.626,"",506.626,0.133664002406145,9,2050.593,2157.9315,2037.433,2602.37,564.937,"1217Anacex","1","Metropolitano",1874,-574.926,1,"live"
"206","tri2pa","Control 1",3179.246,0,0,0,0,"0",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"207","tri2pa","Control 2",3511.574,0,0,0,0,"0",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"208","tri2pa","Control 3",3306.716,0,0,0,0,"0",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"209","tri2pa","Control 4",2505.245,0,0,0,0,"0",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"210","tri2pa","Control 5",1797.879,0,0,0,0,"0",0,0,9,2050.593,2157.9315,2037.433,2602.37,564.937,"1217Anacex","1","Metropolitano",1874,-574.926,0,"cntrl"
"211","aspicr","1",3441.619,2982.122,0,0,2982.122,"0",2982.122,0.866488126663643,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1330Laciag","1","Metropolitano",1874,-574.926,1,"live"
"212","aspicr","2",4025.017,0,0,0,0,"4025.017",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live"
"213","aspicr","3",3028.268,2412.539,0,0,2412.539,"0",2412.539,0.796672883641738,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1330Laciag","1","Metropolitano",1874,-574.926,1,"live"
"214","aspicr","4",4464.615,164.296,323.789,655.057,1143.142,"0",1143.142,0.256044922126544,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1330Laciag","1","Metropolitano",1874,-574.926,1,"live"
"215","aspicr","5",3667.107,0,0,0,0,"100",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live"
"216","aspicr","Control 1",2631.427,0,0,0,0,"100",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"217","aspicr","Control 2",3162.921,2818.981,0,0,2818.981,"0",2818.981,0.891258744685688,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1330Laciag","1","Metropolitano",1874,-574.926,1,"cntrl"
"218","aspicr","Control 3",4913.998,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"219","aspicr","Control 4",2967.584,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"220","aspicr","Control 5",2166.618,1051.598,0,0,1051.598,"112.244",1051.598,0.485363825095148,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"1330Laciag","1","Metropolitano",1874,-574.926,1,"cntrl"
"221","castel","1",3317.801,287.138,0,0,287.138,"495.05",287.138,0.0865446722090927,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1330Laciag","1","Metropolitano",1874,-574.926,1,"live"
"222","castel","2",2966.227,0,0,0,0,"2966.227",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live"
"223","castel","3",3415.299,0,0,0,0,"22.456",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live"
"224","castel","4",6528.093,0,0,0,0,"176.826",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live"
"225","castel","5",4200.684,2403.019,0,0,2403.019,"0",2403.019,0.572054217836905,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1330Laciag","1","Metropolitano",1874,-574.926,1,"live"
"226","castel","Control 1",5984.554,0,0,0,0,"0",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"227","castel","Control 2",7499.105,0,0,0,0,"0",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"228","castel","Control 3",4253.324,0,0,0,0,"0",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"229","castel","Control 4",3621.423,0,0,0,0,"0",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"230","castel","Control 5",3173.775,0,0,0,0,"0",0,0,2,2038.218,2074.2806626506,1874.868,2602.37,727.502,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"231","dendar","1",5133.293,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live"
"232","dendar","2",6108.149,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live"
"233","dendar","3",8669.353,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live"
"234","dendar","4",3608.61,29.535,36.81,0,66.345,"0",66.345,0.01838519540765,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1330Laciag","1","Metropolitano",1874,-574.926,1,"live"
"235","dendar","5",5271.567,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live"
"236","dendar","Control 1",4626.299,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"237","dendar","Control 2",3892.668,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"238","dendar","Control 3",4298.639,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"239","dendar","Control 4",3133.449,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"240","dendar","Control 5",5778.914,0,0,0,0,"0",0,0,3,2829.485,2653.96964566929,1755.882,3276.092,1520.21,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"241","mourmy","1",447.902,0,0,0,0,"0",0,0,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live"
"242","mourmy","2",160.562,0,0,0,0,"0",0,0,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live"
"243","mourmy","3",577.723,16.968,0,0,16.968,"0",16.968,0.0293704768548249,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1330Laciag","1","Metropolitano",1874,-574.926,1,"live"
"244","mourmy","4",495.412,0,0,0,0,"0",0,0,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live"
"245","mourmy","5",314.447,6.933,0,0,6.933,"0",6.933,0.0220482307034254,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1330Laciag","1","Metropolitano",1874,-574.926,1,"live"
"246","mourmy","Control 1",448.763,0,0,0,0,"0",0,0,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"247","mourmy","Control 2",243.592,0,0,0,0,"0",0,0,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"248","mourmy","Control 3",402.857,3.548,0,0,3.548,"0",3.548,0.00880709532166501,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1330Laciag","1","Metropolitano",1874,-574.926,1,"cntrl"
"249","mourmy","Control 4",223.872,0,0,0,0,"0",0,0,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"250","mourmy","Control 5",286.395,5.549,2.689,3.783,12.021,"0.00%",12.021,0.0419734981406798,5,2580.578,2623.11627240143,2563.317,2864.436,301.119,"1330Laciag","1","Metropolitano",1874,-574.926,1,"cntrl"
"251","ormoma","1",2987.23,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live"
"252","ormoma","2",2996.166,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live"
"253","ormoma","3",4898.969,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live"
"254","ormoma","4",7277.135,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live"
"255","ormoma","5",6423.147,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live"
"256","ormoma","Control 1",5007.916,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"257","ormoma","Control 2",9642.733,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"258","ormoma","Control 3",7883.253,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"259","ormoma","Control 4",4109.335,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"260","ormoma","Control 5",6395.314,0,0,0,0,"0",0,0,6,2580.578,2581.15754545455,2037.433,2864.436,827.003,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"261","randar","1",1580.808,42.582,134.257,61.356,238.195,"0",238.195,0.150679272878174,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"1330Laciag","1","Metropolitano",1874,-574.926,1,"live"
"262","randar","2",1292.947,33.305,22.5,0,55.805,"0",55.805,0.043161088582904,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"1330Laciag","1","Metropolitano",1874,-574.926,1,"live"
"263","randar","3",1384.47,1384.47,0,0,1384.47,"0",1384.47,1,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"1330Laciag","1","Metropolitano",1874,-574.926,1,"live"
"264","randar","4",1080.926,1032.673,0,0,1032.673,"0",1032.673,0.955359571330507,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"1330Laciag","1","Metropolitano",1874,-574.926,1,"live"
"265","randar","5",980.955,13.691,8.674,0,22.365,"0",22.365,0.0227992109729804,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"1330Laciag","1","Metropolitano",1874,-574.926,1,"live"
"266","randar","Control 1",834.92,767.878,0,0,767.878,"0",767.878,0.919702486465769,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"1330Laciag","1","Metropolitano",1874,-574.926,1,"cntrl"
"267","randar","Control 2",1432.955,12.136,0,0,12.136,"0",12.136,0.00846921222229589,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"1330Laciag","1","Metropolitano",1874,-574.926,1,"cntrl"
"268","randar","Control 3",1006.14,0,0,0,0,"0",0,0,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"269","randar","Control 4",1126.736,0,0,0,0,"0",0,0,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"270","randar","Control 5",1123.917,1026.137,0,0,1026.137,"0",1026.137,0.91300069311168,7,2615.432,2696.05803703704,2563.317,2847.856,284.539,"1330Laciag","1","Metropolitano",1874,-574.926,1,"cntrl"
"271","soroaf","1",10083.723,0,0,0,0,"37.743",0,0,8,2491.762,2456.09698726115,2037.433,3276.092,1238.659,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live"
"272","soroaf","2",4953.469,0,0,0,0,"0",0,0,8,2491.762,2456.09698726115,2037.433,3276.092,1238.659,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live"
"273","soroaf","3",6573.712,2132.783,0,0,2132.783,"0",2132.783,0.324441198519193,8,2491.762,2456.09698726115,2037.433,3276.092,1238.659,"1330Laciag","1","Metropolitano",1874,-574.926,1,"live"
"274","soroaf","4",3466.326,384.325,241.292,0,625.617,"23.912",625.617,0.180484178349065,8,2491.762,2456.09698726115,2037.433,3276.092,1238.659,"1330Laciag","1","Metropolitano",1874,-574.926,1,"live"
"275","soroaf","5",8356.33,0,0,0,0,"0",0,0,8,2491.762,2456.09698726115,2037.433,3276.092,1238.659,"1330Laciag","1","Metropolitano",1874,-574.926,0,"live"
"276","soroaf","Control 1",6729.521,0,0,0,0,"0",0,0,8,2491.762,2456.09698726115,2037.433,3276.092,1238.659,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"277","soroaf","Control 2",6143.654,0,0,0,0,"0",0,0,8,2491.762,2456.09698726115,2037.433,3276.092,1238.659,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"278","soroaf","Control 3",2759.353,1140.141,0,0,1140.141,"0",1140.141,0.413191425671163,8,2491.762,2456.09698726115,2037.433,3276.092,1238.659,"1330Laciag","1","Metropolitano",1874,-574.926,1,"cntrl"
"279","soroaf","Control 4",7189.928,0,0,0,0,"0",0,0,8,2491.762,2456.09698726115,2037.433,3276.092,1238.659,"1330Laciag","1","Metropolitano",1874,-574.926,0,"cntrl"
"280","soroaf","Control 5",5623.504,1375.954,0,0,1375.954,"0",1375.954,0.244679118215262,8,2491.762,2456.09698726115,2037.433,3276.092,1238.659,"1330Laciag","1","Metropolitano",1874,-574.926,1,"cntrl"
"281","aspicr","1",3372.428,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"3216Anacex","3","Charco",2051,-579.148,0,"live"
"282","aspicr","2",2782.857,0,0,0,0,"0",0,0,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"3216Anacex","3","Charco",2051,-579.148,0,"live"
"283","aspicr","3",2227.042,77.036,435.224,0,512.26,"0",512.26,0.230018113713168,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"3216Anacex","3","Charco",2051,-579.148,1,"live"
"284","aspicr","4",3011.74,97.198,0,0,97.198,"0",97.198,0.0322730381772663,1,2595.327,2647.21843319838,2037.433,3276.092,1238.659,"3216Anacex","3","Charco",2051,-579.148,1,"live"
